source,target
Action,The Legend of Tarzan
Adventure,The Legend of Tarzan
Action,Independence Day: Resurgence
Adventure,Independence Day: Resurgence
Sci-Fi,Independence Day: Resurgence
Comedy,Central Intelligence
Crime,Central Intelligence
Animation,Finding Dory
Adventure,Finding Dory
Comedy,Finding Dory
Action,Now You See Me 2
Comedy,Now You See Me 2
Thriller,Now You See Me 2
Biography,Straight Outta Compton
Crime,Straight Outta Compton
Drama,Straight Outta Compton
Action,Mission: Impossible - Rogue Nation
Adventure,Mission: Impossible - Rogue Nation
Thriller,Mission: Impossible - Rogue Nation
Action,Ant-Man
Adventure,Ant-Man
Comedy,Ant-Man
Animation,Minions
Action,Minions
Comedy,Minions
Action,Terminator Genisys
Adventure,Terminator Genisys
Sci-Fi,Terminator Genisys
Action,Teenage Mutant Ninja Turtles
Adventure,Teenage Mutant Ninja Turtles
Comedy,Teenage Mutant Ninja Turtles
Action,Guardians of the Galaxy
Adventure,Guardians of the Galaxy
Sci-Fi,Guardians of the Galaxy
Action,Dawn of the Planet of the Apes
Adventure,Dawn of the Planet of the Apes
Drama,Dawn of the Planet of the Apes
Action,Transformers: Age of Extinction
Adventure,Transformers: Age of Extinction
Sci-Fi,Transformers: Age of Extinction
Action,22 Jump Street
Comedy,22 Jump Street
Crime,22 Jump Street
Adventure,Gravity
Drama,Gravity
Sci-Fi,Gravity
Animation,Despicable Me 2
Comedy,Despicable Me 2
Family,Despicable Me 2
Action,World War Z
Adventure,World War Z
Horror,World War Z
Animation,Monsters University
Adventure,Monsters University
Comedy,Monsters University
Action,Man of Steel
Adventure,Man of Steel
Fantasy,Man of Steel
Action,The Dark Knight Rises
Adventure,The Dark Knight Rises
Drama,The Dark Knight Rises
Animation,Ice Age: Continental Drift
Adventure,Ice Age: Continental Drift
Comedy,Ice Age: Continental Drift
Action,The Amazing Spider-Man
Adventure,The Amazing Spider-Man
Fantasy,The Amazing Spider-Man
Comedy,Ted
Fantasy,Ted
Animation,Brave
Adventure,Brave
Comedy,Brave
Action,Rise of the Planet of the Apes
Drama,Rise of the Planet of the Apes
Sci-Fi,Rise of the Planet of the Apes
Action,Captain America: The First Avenger
Adventure,Captain America: The First Avenger
Sci-Fi,Captain America: The First Avenger
Adventure,Harry Potter and the Deathly Hallows: Part 2
Drama,Harry Potter and the Deathly Hallows: Part 2
Fantasy,Harry Potter and the Deathly Hallows: Part 2
Action,Transformers: Dark of the Moon
Adventure,Transformers: Dark of the Moon
Sci-Fi,Transformers: Dark of the Moon
Animation,Cars 2
Adventure,Cars 2
Comedy,Cars 2
Action,Inception
Adventure,Inception
Crime,Inception
Animation,Despicable Me
Comedy,Despicable Me
Family,Despicable Me
Adventure,The Twilight Saga: Eclipse
Drama,The Twilight Saga: Eclipse
Fantasy,The Twilight Saga: Eclipse
Animation,Toy Story 3
Adventure,Toy Story 3
Comedy,Toy Story 3
Action,The Karate Kid
Drama,The Karate Kid
Family,The Karate Kid
Action,G.I. Joe: The Rise of Cobra
Adventure,G.I. Joe: The Rise of Cobra
Sci-Fi,G.I. Joe: The Rise of Cobra
Adventure,Harry Potter and the Half-Blood Prince
Family,Harry Potter and the Half-Blood Prince
Fantasy,Harry Potter and the Half-Blood Prince
Animation,Ice Age: Dawn of the Dinosaurs
Action,Ice Age: Dawn of the Dinosaurs
Adventure,Ice Age: Dawn of the Dinosaurs
Action,Transformers: Revenge of the Fallen
Adventure,Transformers: Revenge of the Fallen
Sci-Fi,Transformers: Revenge of the Fallen
Comedy,The Proposal
Drama,The Proposal
Romance,The Proposal
Drama,Slumdog Millionaire
Romance,Slumdog Millionaire
Comedy,Mamma Mia!
Family,Mamma Mia!
Musical,Mamma Mia!
Action,The Dark Knight
Adventure,The Dark Knight
Crime,The Dark Knight
Action,Hancock
Drama,Hancock
Animation,WALL·E
Adventure,WALL·E
Family,WALL·E
Action,The Bourne Ultimatum
Mystery,The Bourne Ultimatum
Thriller,The Bourne Ultimatum
Animation,The Simpsons Movie
Adventure,The Simpsons Movie
Comedy,The Simpsons Movie
Adventure,Harry Potter and the Order of the Phoenix
Family,Harry Potter and the Order of the Phoenix
Fantasy,Harry Potter and the Order of the Phoenix
Action,Transformers
Adventure,Transformers
Sci-Fi,Transformers
Animation,Ratatouille
Comedy,Ratatouille
Family,Ratatouille
Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Action,Talladega Nights: The Ballad of Ricky Bobby
Comedy,Talladega Nights: The Ballad of Ricky Bobby
Sport,Talladega Nights: The Ballad of Ricky Bobby
Action,Pirates of the Caribbean: Dead Man's Chest
Adventure,Pirates of the Caribbean: Dead Man's Chest
Fantasy,Pirates of the Caribbean: Dead Man's Chest
Action,Superman Returns
Adventure,Superman Returns
Sci-Fi,Superman Returns
Comedy,Click
Drama,Click
Fantasy,Click
Adventure,Charlie and the Chocolate Factory
Comedy,Charlie and the Chocolate Factory
Family,Charlie and the Chocolate Factory
Comedy,Wedding Crashers
Romance,Wedding Crashers
Adventure,War of the Worlds
Sci-Fi,War of the Worlds
Thriller,War of the Worlds
Action,Batman Begins
Adventure,Batman Begins
Action,Mr. & Mrs. Smith
Comedy,Mr. & Mrs. Smith
Crime,Mr. & Mrs. Smith
Drama,The Village
Mystery,The Village
Romance,The Village
Action,The Bourne Supremacy
Mystery,The Bourne Supremacy
Thriller,The Bourne Supremacy
Action,"I, Robot"
Mystery,"I, Robot"
Sci-Fi,"I, Robot"
Action,Spider-Man 2
Adventure,Spider-Man 2
Fantasy,Spider-Man 2
Comedy,Dodgeball: A True Underdog Story
Sport,Dodgeball: A True Underdog Story
Action,Bad Boys II
Comedy,Bad Boys II
Crime,Bad Boys II
Action,Pirates of the Caribbean: The Curse of the Black Pearl
Adventure,Pirates of the Caribbean: The Curse of the Black Pearl
Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl
Action,Terminator 3: Rise of the Machines
Sci-Fi,Terminator 3: Rise of the Machines
Action,Hulk
Sci-Fi,Hulk
Action,2 Fast 2 Furious
Crime,2 Fast 2 Furious
Thriller,2 Fast 2 Furious
Drama,Signs
Sci-Fi,Signs
Thriller,Signs
Action,Austin Powers in Goldmember
Comedy,Austin Powers in Goldmember
Crime,Austin Powers in Goldmember
Action,Men in Black II
Adventure,Men in Black II
Comedy,Men in Black II
Animation,Lilo & Stitch
Adventure,Lilo & Stitch
Comedy,Lilo & Stitch
Adventure,Scooby-Doo
Comedy,Scooby-Doo
Mystery,Scooby-Doo
Comedy,American Pie 2
Action,Rush Hour 2
Comedy,Rush Hour 2
Crime,Rush Hour 2
Action,Planet of the Apes
Adventure,Planet of the Apes
Sci-Fi,Planet of the Apes
Action,Jurassic Park III
Adventure,Jurassic Park III
Sci-Fi,Jurassic Park III
Comedy,Nutty Professor II: The Klumps
Romance,Nutty Professor II: The Klumps
Sci-Fi,Nutty Professor II: The Klumps
Drama,What Lies Beneath
Fantasy,What Lies Beneath
Horror,What Lies Beneath
Action,X-Men
Adventure,X-Men
Sci-Fi,X-Men
Comedy,Scary Movie
Action,The Perfect Storm
Adventure,The Perfect Storm
Drama,The Perfect Storm
Drama,The Sixth Sense
Mystery,The Sixth Sense
Thriller,The Sixth Sense
Comedy,Runaway Bride
Romance,Runaway Bride
Comedy,American Pie
Comedy,Big Daddy
Drama,Big Daddy
Animation,Tarzan
Adventure,Tarzan
Family,Tarzan
Action,Austin Powers: The Spy Who Shagged Me
Adventure,Austin Powers: The Spy Who Shagged Me
Comedy,Austin Powers: The Spy Who Shagged Me
Action,Saving Private Ryan
Drama,Saving Private Ryan
War,Saving Private Ryan
Comedy,There's Something About Mary
Romance,There's Something About Mary
Action,Lethal Weapon 4
Crime,Lethal Weapon 4
Thriller,Lethal Weapon 4
Action,Armageddon
Adventure,Armageddon
Sci-Fi,Armageddon
Comedy,Doctor Dolittle
Family,Doctor Dolittle
Fantasy,Doctor Dolittle
Action,Air Force One
Adventure,Air Force One
Drama,Air Force One
Adventure,Men in Black
Comedy,Men in Black
Family,Men in Black
Action,Face/Off
Crime,Face/Off
Sci-Fi,Face/Off
Action,Batman & Robin
Fantasy,Batman & Robin
Sci-Fi,Batman & Robin
Comedy,My Best Friend's Wedding
Romance,My Best Friend's Wedding
Crime,A Time to Kill
Drama,A Time to Kill
Thriller,A Time to Kill
Drama,Phenomenon
Fantasy,Phenomenon
Romance,Phenomenon
Action,Independence Day
Adventure,Independence Day
Sci-Fi,Independence Day
Comedy,The Nutty Professor
Romance,The Nutty Professor
Sci-Fi,The Nutty Professor
Action,The Rock
Adventure,The Rock
Thriller,The Rock
Biography,Dangerous Minds
Drama,Dangerous Minds
Action,Waterworld
Adventure,Waterworld
Sci-Fi,Waterworld
Animation,Pocahontas
Adventure,Pocahontas
Drama,Pocahontas
Action,Batman Forever
Adventure,Batman Forever
Fantasy,Batman Forever
Action,Congo
Adventure,Congo
Mystery,Congo
Action,Clear and Present Danger
Crime,Clear and Present Danger
Drama,Clear and Present Danger
Action,The Mask
Comedy,The Mask
Crime,The Mask
Action,True Lies
Comedy,True Lies
Thriller,True Lies
Drama,Forrest Gump
Romance,Forrest Gump
Action,Speed
Adventure,Speed
Crime,Speed
Action,The Fugitive
Adventure,The Fugitive
Crime,The Fugitive
Action,In the Line of Fire
Drama,In the Line of Fire
Thriller,In the Line of Fire
Drama,The Firm
Mystery,The Firm
Thriller,The Firm
Comedy,Sleepless in Seattle
Drama,Sleepless in Seattle
Romance,Sleepless in Seattle
Adventure,Jurassic Park
Sci-Fi,Jurassic Park
Thriller,Jurassic Park
Action,The Last of the Mohicans
Adventure,The Last of the Mohicans
Drama,The Last of the Mohicans
Drama,Unforgiven
Western,Unforgiven
Comedy,A League of Their Own
Drama,A League of Their Own
Sport,A League of Their Own
Action,Batman Returns
Action,Patriot Games
Thriller,Patriot Games
Action,Hot Shots!
Comedy,Hot Shots!
Action,Terminator 2: Judgment Day
Sci-Fi,Terminator 2: Judgment Day
Comedy,The Naked Gun 2½: The Smell of Fear
Crime,The Naked Gun 2½: The Smell of Fear
Action,Robin Hood: Prince of Thieves
Adventure,Robin Hood: Prince of Thieves
Drama,Robin Hood: Prince of Thieves
Comedy,City Slickers
Mystery,Presumed Innocent
Thriller,Presumed Innocent
Drama,Ghost
Fantasy,Ghost
Romance,Ghost
Action,Die Hard 2
Thriller,Die Hard 2
Action,Days of Thunder
Drama,Days of Thunder
Sport,Days of Thunder
Action,Dick Tracy
Comedy,Dick Tracy
Crime,Dick Tracy
